job_id,era,submission_date,approval_date,cycle_time_days,sample_flag
6239,2024,2024-05-02,2024-06-06,35,TRUE
5982,2024,2024-01-19,2024-03-23,64,TRUE
6510,2024,2024-08-13,2024-11-16,95,TRUE
5812,2024,2024-07-27,2024-11-05,101,TRUE
6411,2024,2024-07-08,2024-12-03,148,TRUE
6262,2024,2024-05-13,2024-06-27,45,TRUE
6224,2024,2024-04-30,2024-06-12,43,TRUE
6798,2024,2024-12-27,2025-06-16,171,TRUE
6989,2025,2025-02-07,2025-03-19,40,TRUE
7612,2025,2025-09-19,2025-11-22,64,TRUE
7384,2025,2025-06-20,2025-07-02,12,TRUE
6943,2025,2025-01-16,2025-03-14,57,TRUE
6938,2025,2025-01-14,2025-03-19,64,TRUE
6972,2025,2025-02-08,2025-04-23,74,TRUE
7134,2025,2025-04-04,2025-05-06,32,TRUE
7167,2025,2025-04-22,2025-05-23,31,TRUE
8477,2026,2026-05-28,2026-06-17,20,TRUE
8572,2026,2026-06-24,2026-07-03,9,TRUE
8007,2026,2026-01-14,2026-01-29,15,TRUE
8541,2026,2026-06-15,2026-06-24,9,TRUE
8152,2026,2026-02-26,2026-02-28,2,TRUE
8602,2026,2026-07-06,2026-07-15,9,TRUE
8495,2026,2026-06-04,2026-06-11,7,TRUE
8178,2026,2026-05-11,2026-05-14,3,TRUE
